CD_IDENTIFICADOR;CD_PRODUTO;CD_LOTE;CD_UNI_PRO;DT_VALIDADE;DS_UNIDADE
708346;73725;.20B24N14;58942;30/01/2022;FR1000ML
721532;73725;20D07N10;58942;30/03/2022;FR1000ML
715698;73725;20C11N20;58942;28/02/2022;FR1000ML
709453;73725;20C11N20;58942;28/02/2022;FR1000ML
722683;73725;.20D07N10;58942;30/03/2022;FR1000ML
707706;73725; 20B24N14;58942;31/01/2022;FR1000ML
711709;73725;20C11N20;58942;28/02/2022;FR1000ML
711917;73725;20C10N43;58942;28/02/2022;FR1000ML
720903;73725;20D07N10;58942;31/03/2022;FR1000ML
708303;73725;20C11N20;58942;28/02/2022;FR1000ML
711064;73725;20C10N43;58942;28/02/2022;FR1000ML
720360;73725;20C11N20;58942;28/02/2022;FR1000ML
713109;73725;20C11N20;58942;28/02/2022;FR1000ML
722684;73725;.20D07N10;58942;30/03/2022;FR1000ML
714853;73725;20C11N20;58942;28/02/2022;FR1000ML
710309;73725; 20B24N14;58942;31/01/2022;FR1000ML
723342;73725;20C11N20;58942;28/02/2022;FR1000ML
714928;73725;20C11N20;58942;28/02/2022;FR1000ML
708239;73725;20B24N14;58942;30/01/2022;FR1000ML
704645;73725;120820;58942;30/10/2025;FR1000ML
703212;73725;19L02N11;58942;30/11/2021;FR1000ML
687583;73725;19K22N20;58942;30/10/2021;FR1000ML
694237;73725;20A30N20;58942;30/12/2021;FR1000ML
689755;73725;19L02N11;58942;30/11/2021;FR1000ML
693069;73725;19L02N11;58942;30/11/2021;FR1000ML
694600;73725;19L02N11;58942;30/11/2021;FR1000ML
704897;73725; 20B24N14;58942;31/01/2022;FR1000ML
690022;73725;19L02N11;58942;30/11/2021;FR1000ML
687694;73725;19K22N20;58942;30/10/2021;FR1000ML
687692;73725;19K22N20;58942;30/10/2021;FR1000ML
689744;73725;19L02N11;58942;30/11/2021;FR1000ML
703565;73725;20A30N20;58942;31/12/2021;FR1000ML
698192;73725;19L02N11;58942;30/11/2021;FR1000ML
703740;73725;20B24N14;58942;30/01/2022;FR1000ML
694645;73725;20A30N20;58942;31/12/2021;FR1000ML
694188;73725;19L02N11;58942;30/11/2021;FR1000ML
689811;73725;19L02N11;58942;30/11/2021;FR1000ML
703700;73725; 20B24N14;58942;31/01/2022;FR1000ML
703372;73725;.20B24N14;58942;30/01/2022;FR1000ML
688525;73725;19K22N20;58942;31/10/2021;FR1000ML
703370;73725;.20B24N14;58942;30/01/2022;FR1000ML
694211;73725;20A30N20;58942;30/12/2021;FR1000ML
694210;73725;20A30N20;58942;30/12/2021;FR1000ML
701025;73725;20B24N14;58942;30/01/2022;FR1000ML
690442;73725;19L02N11;58942;30/11/2021;FR1000ML
